NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602,,,,,,
144,GPA30GT3090-A,,1,27.89,,,,,,,,,,,
145,GPA32GT3090-A,,1,29.8,,,,,,,,,,,
146,GPA34GT3090-A,,1,31.71,,,,,,,,,,,
147,GPA36GT3090-A,,1,33.62,,,,,,,,,,,
148,GPA40GT3090-A,,1,37.44,,,,,,,,,,,
149,GPA44GT3090-A,,1,41.26,,,,,,,,,,,
150,GPA48GT3090-A,,1,45.08,,,,,,,,,,,
151,GPA50GT3090-A,,1,46.99,,,,,,,,,,,
152,GPA60GT3090-A,,1,56.54,,,,,,,,,,,
153,GPA22GT3150-A,,1,20.25,,,,,,,,,,,
154,GPA24GT3150-A,,1,22.16,,,,,,,,,,,
155,GPA25GT3150-A,,1,23.11,,,,,,,,,,,
156,GPA26GT3150-A,,1,24.07,,,,,,,,,,,
157,GPA28GT3150-A,,1,25.98,,,,,,,,,,,
158,GPA30GT3150-A,,1,27.89,,,,,,,,,,,
159,GPA32GT3150-A,,1,29.8,,,,,,,,,,,
160,GPA34GT3150-A,,1,31.71,,,,,,,,,,,
161,GPA36GT3150-A,,1,33.62,,,,,,,,,,,
162,GPA40GT3150-A,,1,37.44,,,,,,,,,,,
163,GPA44GT3150-A,,1,41.26,,,,,,,,,,,
164,GPA48GT3150-A,,1,45.08,,,,,,,,,,,
165,GPA50GT3150-A,,1,46.99,,,,,,,,,,,
166,GPA60GT3150-A,,1,56.54,,,,,,,,,,,
167,GPA22GT3060-B,,1,20.25,,,,,,,,,,,
168,GPA24GT3060-B,,1,22.16,,,,,,,,,,,
169,GPA25GT3060-B,,1,23.11,,,,,,,,,,,
170,GPA26GT3060-B,,1,24.07,,,,,,,,,,,
171,GPA28GT3060-B,,1,25.98,,,,,,,,,,,
172,GPA30GT3060-B,,1,27.89,,,,,,,,,,,
173,GPA32GT3060-B,,1,29.8,,,,,,,,,,,
174,GPA34GT3060-B,,1,31.71,,,,,,,,,,,
175,GPA36GT3060-B,,1,33.62,,,,,,,,,,,
176,GPA40GT3060-B,,1,37.44,,,,,,,,,,,
177,GPA44GT3060-B,,1,41.26,,,,,,,,,,,
178,GPA48GT3060-B,,1,45.08,,,,,,,,,,,
179,GPA50GT3060-B,,1,46.99,,,,,,,,,,,
180,GPA60GT3060-B,,1,56.54,,,,,,,,,,,
181,GPA22GT3090-B,,1,20.25,,,,,,,,,,,
182,GPA24GT3090-B,,1,22.16,,,,,,,,,,,
183,GPA25GT3090-B,,1,23.11,,,,,,,,,,,
184,GPA26GT3090-B,,1,24.07,,,,,,,,,,,
185,GPA28GT3090-B,,1,25.98,,,,,,,,,,,
186,GPA30GT3090-B,,1,27.89,,,,,,,,,,,
187,GPA32GT3090-B,,1,29.8,,,,,,,,,,,
188,GPA34GT3090-B,,1,31.71,,,,,,,,,,,
189,GPA36GT3090-B,,1,33.62,,,,,,,,,,,
190,GPA40GT3090-B,,1,37.44,,,,,,,,,,,
191,GPA44GT3090-B,,1,41.26,,,,,,,,,,,
192,GPA48GT3090-B,,1,45.08,,,,,,,,,,,
193,GPA50GT3090-B,,1,46.99,,,,,,,,,,,
194,GPA60GT3090-B,,1,56.54,,,,,,,,,,,
195,GPA22GT3150-B,,1,20.25,,,,,,,,,,,
196,GPA24GT3150-B,,1,22.16,,,,,,,,,,,
197,GPA25GT3150-B,,1,23.11,,,,,,,,,,,
198,GPA26GT3150-B,,1,24.07,,,,,,,,,,,
199,GPA28GT3150-B,,1,25.98,,,,,,,,,,,
200,GPA30GT3150-B,,1,27.89,,,,,,,,,,,
201,GPA32GT3150-B,,1,29.8,,,,,,,,,,,
202,GPA34GT3150-B,,1,31.71,,,,,,,,,,,
203,GPA36GT3150-B,,1,33.62,,,,,,,,,,,
204,GPA40GT3150-B,,1,37.44,,,,,,,,,,,
205,GPA44GT3150-B,,1,41.26,,,,,,,,,,,
206,GPA48GT3150-B,,1,45.08,,,,,,,,,,,
207,GPA50GT3150-B,,1,46.99,,,,,,,,,,,
208,GPA60GT3150-B,,1,56.54,,,,,,,,,,,
209,GPT16GT3060-A,,1,14.52,,,,,,,,,,,
210,GPT18GT3060-A,,1,16.43,,,,,,,,,,,
211,GPT20GT3060-A,,1,18.34,,,,,,,,,,,
212,GPT16GT3090-A,,1,14.52,,,,,,,,,,,
213,GPT18GT3090-A,,1,16.43,,,,,,,,,,,
214,GPT20GT3090-A,,1,18.34,,,,,,,,,,,
215,GPT16GT3150-A,,1,14.52,,,,,,,,,,,
216,GPT18GT3150-A,,1,16.43,,,,,,,,,,,
217,GPT20GT3150-A,,1,18.34,,,,,,,,,,,
218,GPT22GT3060-A,,1,20.25,,,,,,,,,,,
219,GPT24GT3060-A,,1,22.16,,,,,,,,,,,
220,GPT25GT3060-A,,1,23.11,,,,,,,,,,,
221,GPT26GT3060-A,,1,24.07,,,,,,,,,,,
222,GPT28GT3060-A,,1,25.98,,,,,,,,,,,
223,GPT30GT3060-A,,1,27.89,,,,,,,,,,,
224,GPT32GT3060-A,,1,29.8,,,,,,,,,,,
225,GPT34GT3060-A,,1,31.71,,,,,,,,,,,
226,GPT36GT3060-A,,1,33.62,,,,,,,,,,,
227,GPT40GT3060-A,,1,37.44,,,,,,,,,,,
228,GPT44GT3060-A,,1,41.26,,,,,,,,,,,
229,GPT48GT3060-A,,1,45.08,,,,,,,,,,,
230,GPT50GT3060-A,,1,46.99,,,,,,,,,,,
231,GPT60GT3060-A,,1,56.54,,,,,,,,,,,
232,GPT22GT3090-A,,1,20.25,,,,,,,,,,,
233,GPT24GT3090-A,,1,22.16,,,,,,,,,,,
234,GPT25GT3090-A,,1,23.11,,,,,,,,,,,
235,GPT26GT3090-A,,1,24.07,,,,,,,,,,,
236,GPT28GT3090-A,,1,25.98,,,,,,,,,,,
237,GPT30GT3090-A,,1,27.89,,,,,,,,,,,
238,GPT32GT3090-A,,1,29.8,,,,,,,,,,,
239,GPT34GT3090-A,,1,31.71,,,,,,,,,,,
240,GPT36GT3090-A,,1,33.62,,,,,,,,,,,
241,GPT40GT3090-A,,1,37.44,,,,,,,,,,,
242,GPT44GT3090-A,,1,41.26,,,,,,,,,,,
243,GPT48GT3090-A,,1,45.08,,,,,,,,,,,
244,GPT50GT3090-A,,1,46.99,,,,,,,,,,,
245,GPT60GT3090-A,,1,56.54,,,,,,,,,,,
