NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602
38279,GPK56MR3060-A,test1-0.jpg,1,52.72,56,45,1.166,,
38280,GPK60MR3060-A,test1-0.jpg,1,56.54,60,46,1.189,,
38281,GPK62MR3060-A,test1-0.jpg,1,58.45,62,46,1.189,,
38282,GPK68MR3060-A,test1-0.jpg,1,64.18,68,46,1.189,,
38283,GPK72MR3060-A,test1-0.jpg,1,67.99,72,46,1.189,,
38284,GPK16MR3090-K,test1-2.jpg,1,14.52,16,44,1.143,,
38285,GPK17MR3090-K,test1-2.jpg,1,15.47,17,44,1.143,,
38286,GPK18MR3090-K,test1-2.jpg,1,16.43,18,44,1.143,,
38287,GPK19MR3090-K,test1-2.jpg,1,17.38,19,44,1.143,,
38288,GPK20MR3090-K,test1-2.jpg,1,18.34,20,44,1.143,,
38289,GPK21MR3090-K,test1-2.jpg,1,19.29,21,44,1.143,,
38290,GPK22MR3090-K,test1-2.jpg,1,20.25,22,44,1.143,,
38291,GPK24MR3090-B,test1-1.jpg,1,22.16,24,44,1.143,,
38292,GPK25MR3090-B,test1-1.jpg,1,23.11,25,44,1.143,,
38293,GPK26MR3090-B,test1-1.jpg,1,24.07,26,44,1.143,,
38294,GPK28MR3090-B,test1-1.jpg,1,25.98,28,45,1.166,,
38295,GPK30MR3090-B,test1-1.jpg,1,27.89,30,45,1.166,,
38296,GPK32MR3090-B,test1-1.jpg,1,29.8,32,45,1.166,,
38297,GPK34MR3090-B,test1-1.jpg,1,31.71,34,45,1.166,,
38298,GPK36MR3090-B,test1-1.jpg,1,33.62,36,45,1.166,,
38299,GPK38MR3090-B,test1-1.jpg,1,35.53,40,45,1.166,,
38300,GPK40MR3090-B,test1-1.jpg,1,37.44,42,45,1.166,,
38301,GPK44MR3090-B,test1-1.jpg,1,41.26,44,45,1.166,,
38302,GPK45MR3090-B,test1-1.jpg,1,42.21,45,45,1.166,,
38303,GPK48MR3090-B,test1-1.jpg,1,45.08,48,45,1.166,,
38304,GPK50MR3090-B,test1-1.jpg,1,46.99,50,45,1.166,,
38305,GPK56MR3090-B,test1-1.jpg,1,52.72,56,45,1.166,,
38306,GPK60MR3090-B,test1-1.jpg,1,56.54,60,46,1.189,,
38307,GPK62MR3090-B,test1-1.jpg,1,58.45,62,46,1.189,,
38308,GPK68MR3090-B,test1-1.jpg,1,64.18,68,46,1.189,,
38309,GPK72MR3090-B,test1-1.jpg,1,67.99,72,46,1.189,,
38310,GPK16MR3090-A,test1-0.jpg,1,14.52,16,44,1.143,,
38311,GPK17MR3090-A,test1-0.jpg,1,15.47,17,44,1.143,,
38312,GPK18MR3090-A,test1-0.jpg,1,16.43,18,44,1.143,,
38313,GPK19MR3090-A,test1-0.jpg,1,17.38,19,44,1.143,,
38314,GPK20MR3090-A,test1-0.jpg,1,18.34,20,44,1.143,,
38315,GPK21MR3090-A,test1-0.jpg,1,19.29,21,44,1.143,,
38316,GPK22MR3090-A,test1-0.jpg,1,20.25,22,44,1.143,,
38317,GPK24MR3090-A,test1-0.jpg,1,22.16,24,44,1.143,,
38318,GPK25MR3090-A,test1-0.jpg,1,23.11,25,44,1.143,,
38319,GPK26MR3090-A,test1-0.jpg,1,24.07,26,44,1.143,,
38320,GPK28MR3090-A,test1-0.jpg,1,25.98,28,45,1.166,,
38321,GPK30MR3090-A,test1-0.jpg,1,27.89,30,45,1.166,,
38322,GPK32MR3090-A,test1-0.jpg,1,29.8,32,45,1.166,,
38323,GPK34MR3090-A,test1-0.jpg,1,31.71,34,45,1.166,,
38324,GPK36MR3090-A,test1-0.jpg,1,33.62,36,45,1.166,,
38325,GPK38MR3090-A,test1-0.jpg,1,35.53,40,45,1.166,,
38326,GPK40MR3090-A,test1-0.jpg,1,37.44,42,45,1.166,,
38327,GPK44MR3090-A,test1-0.jpg,1,41.26,44,45,1.166,,
